delta,theta,alpha,beta,label,subject_id
6.160645621032545e-12,3.3094106218043477e-12,1.943592815399058e-12,2.3660590830785225e-12,Wake,7011
6.851487485470579e-12,2.188515837484501e-12,1.1046328718296055e-12,8.372303092502288e-13,N1,7011
2.707087611868625e-11,3.864857013162381e-12,1.4528540696435236e-12,8.678398297664217e-13,N2,7011
2.40311662914041e-11,1.12644187555461e-12,1.8356988812992325e-12,5.003664637090437e-13,N1,7011
4.3954386259617084e-11,2.5450339083091524e-12,1.2764727656939254e-12,8.361874842927518e-13,N2,7011
6.573370617804695e-11,9.096382646244945e-12,2.170274517845724e-12,7.198721799823597e-13,N3,7011
5.0372449556223865e-11,3.5255749420674804e-12,3.000429729340536e-12,7.658265954942224e-13,N1,7011
5.2541600380657364e-11,7.54343494281598e-12,1.7011600873848157e-12,6.516895239497461e-13,N2,7011
1.1479324967129636e-10,8.183687232488814e-12,3.064228593892603e-12,1.3189131103564825e-12,N3,7011
3.350084672886584e-10,7.81014037760252e-12,4.1604832011482845e-12,7.851001536741505e-12,N2,7011
4.44804498673168e-11,7.118632782972764e-12,1.468708389940321e-12,7.740481975467309e-13,N1,7011
4.555160593621889e-11,7.305764287552007e-12,1.864879228276997e-12,7.499805113754904e-13,N2,7011
1.7523929723198465e-10,2.9107897802872648e-12,2.253453625910639e-12,1.7810381288608954e-12,Wake,7011
7.355269075615798e-12,6.8715790339122515e-12,1.5213932363826473e-12,7.890397435642466e-13,N1,7011
7.905653956460691e-11,1.1467628149365226e-11,1.886337020944304e-12,8.430771157989953e-13,N2,7011
2.35194566621486e-10,5.728437082216024e-12,2.8566508620214316e-12,2.988082435005623e-12,Wake,7011
4.112980633018871e-11,6.596449528635803e-12,2.5695450996472924e-12,7.727014896962761e-13,N2,7011
9.696247136163648e-11,1.1658172618576321e-11,2.6174315250373073e-12,6.801033735102208e-13,N3,7011
5.067973492348143e-11,9.845220717906096e-12,2.3822571364934298e-12,7.526610755706564e-13,N2,7011
5.360519241133574e-11,2.276003775451669e-12,2.5324485212299403e-12,1.0023123881320284e-12,N1,7011
1.8219830724361346e-09,1.887165141334449e-11,5.866456799966063e-12,3.5296139378239375e-12,Wake,7011
4.622397424683497e-12,3.92596527159624e-12,1.94500309532195e-12,5.838239726714036e-13,N1,7011
3.337843341037887e-11,5.99923677891028e-12,1.6287590847231005e-12,7.628295744883246e-13,N2,7011
2.6173859128142762e-11,2.466573904660111e-12,2.0512188389292432e-12,8.207751628056329e-13,N1,7011
9.54611483626283e-12,7.02320239684362e-12,2.0153170504403467e-12,6.966667510650656e-13,N2,7011
5.837359318202201e-10,6.3728036837208894e-12,3.180226244685185e-12,1.9077893961903142e-12,N1,7011
3.146086163525398e-11,3.0941373795695813e-12,1.930877976273206e-12,7.487312743829852e-13,Wake,7011
4.707999141157772e-12,4.593828528563076e-12,1.1665978872333454e-12,5.775694841175572e-13,N1,7011
1.4802552563013133e-11,9.87346755544598e-12,2.22417366999274e-12,9.035253151758383e-13,N2,7011
1.6375573025869473e-10,8.338819692459993e-12,2.5365289030614856e-12,1.2073968141352685e-12,N3,7011
7.558854333661725e-11,1.0282413731883943e-11,2.1654630408588865e-12,6.671980635076163e-13,N2,7011
1.8333569081443602e-10,7.634811728068609e-12,2.9395653944356367e-12,6.066911937067889e-13,N3,7011
8.940410246947314e-11,3.9802718761303914e-12,2.4432759578831497e-12,7.414266843180978e-13,N2,7011
4.400647307782321e-11,5.3788708688472175e-12,1.6641166330455553e-12,5.826263616211687e-13,REM,7011
4.67798378297599e-11,7.889851304826547e-12,2.0668988332894097e-12,8.9638703450417e-13,N2,7011
1.0211151197234422e-11,1.2418219944752278e-12,1.5309437834894614e-12,8.070009361668732e-13,N1,7011
2.981301786808768e-11,7.652893884329696e-12,1.7167752789992159e-12,7.34774198463032e-13,N2,7011
8.477971118770484e-12,1.1886787843117111e-12,1.441173296718262e-12,4.247627253193345e-13,N1,7011
