trial,subject,f1,thresh,acc,avg_f1,hidden_size,num_layers,dropout,bidirectional,learning_rate,stride,seq_len,epochs,batch_size,weight_decay
0,7242,0.3308759486407775,0.5,0.35090859030837,0.3308759486407775,64,3,0.2994028049210362,True,0.003319414023327547,4,32,13,64,0.005666597524267947
1,7242,0.20742577293003003,0.5,0.31707974137931033,0.20742577293003003,64,2,0.36965344602653816,True,0.001720021822320989,2,128,8,64,0.003062273519768889
2,7242,0.14688581511613752,0.5,0.2600599315068493,0.14688581511613752,128,3,0.17957901587152492,True,0.003230690711567297,2,64,14,128,0.009180713288833598
3,7242,0.4881854071113845,0.5,0.492990154109589,0.4881854071113845,128,2,0.46113270413265095,False,0.00011982944130266843,1,64,9,64,1.3467657668402778e-05
4,7242,0.2859539934071116,0.5,0.3373614532019704,0.2859539934071116,64,2,0.34223102575750275,False,0.00033452711277994786,4,128,10,128,0.00010450174221660634
5,7242,0.5297957552479828,0.5,0.5145925110132159,0.5297957552479828,128,1,0.30791879435015207,False,0.00013683416522885754,2,32,11,128,3.003178873383061e-05
6,7242,0.4723302220330486,0.5,0.45374449339207046,0.4723302220330486,128,1,0.45433083846708233,True,0.003198838691931292,2,32,12,128,4.78982922844584e-05
7,7242,0.4615013401220915,0.5,0.4622574200913242,0.4615013401220915,256,2,0.31338835399560105,False,0.0013997736312299017,4,64,9,32,3.152146858847378e-05
8,7242,0.5365600151653209,0.5,0.5297517123287672,0.5365600151653209,128,3,0.32605054158312186,True,0.0007451376549375596,1,64,9,64,0.0022291764931384015
9,7242,0.417381263595561,0.5,0.38735375615763545,0.417381263595561,64,2,0.108466076468862,True,0.00082609199251563,4,128,13,32,0.00010376177657048565
